year,day,hour,avg
2012,37,1,967.1958824
2012,37,2,964.3155556
2012,37,3,964.0377778
2012,37,4,964.1488889
2012,37,5,967.1370588
2012,37,6,964.8205556
2012,37,7,968.0829412
2012,37,8,964.8805556
2012,37,9,964.4311111
2012,37,10,963.8855556
2012,37,11,963.0422222
2012,37,12,962.6870588
2012,37,13,961.2652941
2012,37,14,959.7158824
2012,37,15,958.7694118
2012,37,16,958.6517647
2012,37,17,959.1761111
2012,37,18,960.6761111
2012,37,19,962.0788235
2012,37,20,962.9611765
2012,37,21,963.6182353
2012,37,22,964.2117647
2012,37,23,964.1476471
2012,38,0,966.9525
2012,38,1,966.833125
2012,38,2,966.515
2012,38,3,963.7358824
2012,38,4,963.4417647
2012,38,5,966.5775
2012,38,6,967.015
2012,38,7,966.9605882
2012,38,8,966.8429412
2012,38,9,964.1027778
2012,38,10,963.4866667
2012,38,11,963.0333333
2012,38,12,962.3111111
2012,38,13,961.0283333
2012,38,14,959.6811111
2012,38,15,958.8933333
2012,38,16,958.7266667
2012,38,17,959.7366667
2012,38,18,961.2872222
2012,38,19,962.0233333
2012,38,20,962.8616667
2012,38,21,963.7
2012,38,22,963.9822222
2012,38,23,964.5105882
2012,39,0,967.333125
2012,39,1,966.4258824
2012,39,2,966.3082353
2012,39,3,963.5327778
2012,39,4,963.4172222
2012,39,5,966.1317647
2012,39,6,966.8429412
2012,39,7,967.4311765
2012,39,8,967.2005882
2012,39,9,964.1027778
2012,39,10,963.5977778
2012,39,11,962.6823529
2012,39,12,962.04
2012,39,13,960.7947059
2012,39,14,959.7894118
2012,39,15,958.8335294
2012,39,16,958.7747059
2012,39,17,960.3682353
2012,39,18,961.78
2012,39,19,962.4317647
2012,39,20,966.14
2012,39,21,967.020625
2012,39,22,967.645625
2012,39,23,964.9276471
2012,40,0,967.708125
2012,40,1,966.9605882
2012,40,2,966.6664706
2012,40,3,966.3135294
2012,40,4,963.4172222
2012,40,5,966.1317647
2012,40,6,967.39
2012,40,7,967.2547059
2012,40,8,964.4266667
2012,40,9,963.9866667
2012,40,10,963.7088889
2012,40,11,963.26
2012,40,12,962.5058824
2012,40,13,961.5594118
2012,40,14,960.0788235
2012,40,15,958.684
2012,40,16,958.684
2012,40,17,960.5394118
2012,40,18,962.1376471
2012,40,19,963.406875
2012,40,20,963.9176471
2012,40,21,967.645625
2012,40,22,965.5158824
2012,40,23,965.3976471
2012,41,0,968.333125
2012,41,1,967.3770588
2012,41,2,967.2594118
2012,41,3,964.1488889
2012,41,4,963.9822222
2012,41,5,966.6611765
2012,41,6,967.4311765
2012,41,7,968.2594118
2012,41,8,968.1417647
2012,41,9,965.1122222
2012,41,10,964.7744444
2012,41,11,964.2744444
2012,41,12,963.5977778
2012,41,13,961.9222222
2012,41,14,960.6855556
2012,41,15,959.7411111
2012,41,16,959.6855556
2012,41,17,960.69
2012,41,18,961.9122222
2012,41,19,962.8011111
2012,41,20,963.7
2012,41,21,964.4266667
