year,day,hour,avg
2012,19,17,30.16066667
2012,19,18,24.632
2012,19,19,22.13846154
2012,19,20,20.58461538
2012,19,21,19.8
2012,19,22,19.11538462
2012,19,23,19.2
2012,20,0,18.79166667
2012,20,1,17.77857143
2012,20,2,17.01428571
2012,20,3,17.23923077
2012,20,4,16.70846154
2012,20,5,16.48615385
2012,20,6,15.84076923
2012,20,7,15.80230769
2012,20,8,16.88214286
2012,20,9,20.88466667
2012,20,10,25.66142857
2012,20,11,28.44285714
2012,20,12,31.01571429
2012,20,13,32.93928571
2012,20,14,33.54571429
2012,20,15,33.29846154
2012,20,16,32.16076923
2012,20,17,29.56466667
2012,20,18,25.418
2012,20,19,23.08133333
2012,20,20,21.93133333
2012,20,21,21.566
2012,20,22,21.75466667
2012,20,23,21.26733333
2012,21,0,20.736
2012,21,1,20.21133333
2012,21,2,19.57785714
2012,21,3,19.54230769
2012,21,4,18.82076923
2012,21,5,18.06
2012,21,6,17.10615385
2012,21,7,16.59214286
2012,21,8,18.06533333
2012,21,9,23.50933333
2012,21,10,28.178
2012,21,11,30.442
2012,21,12,32.48466667
2012,21,13,33.89866667
2012,21,14,34.82133333
2012,21,15,35.76142857
2012,21,16,35.52428571
2012,21,17,32.87142857
2012,21,18,27.16857143
2012,21,19,23.25857143
2012,21,20,21.27928571
2012,21,21,20.095
2012,21,22,20.16538462
2012,21,23,19.46769231
2012,22,0,18.84692308
2012,22,1,18.09461538
2012,22,2,17.41076923
2012,22,3,17.03
2012,22,4,15.93916667
2012,22,5,15.79090909
2012,22,6,14.8
2012,22,7,14.21818182
2012,22,8,16.26916667
2012,22,9,20.22
2012,22,10,25.09
2012,22,11,28.30066667
2012,22,12,30.76266667
2012,22,13,33.11066667
2012,22,14,35.74857143
2012,22,15,35.27571429
2012,22,16,34.85428571
2012,22,17,32.21
2012,22,18,25.62642857
2012,22,19,21.53642857
2012,22,20,20.41461538
2012,22,21,18.70071429
2012,22,22,18.51
2012,22,23,18.17923077
2012,23,0,17.33384615
2012,23,1,16.47384615
2012,23,2,16.455
2012,23,3,15.93916667
2012,23,4,15.37272727
2012,23,5,15.25
2012,23,6,14.48888889
2012,23,7,13.93333333
2012,23,8,15.27916667
2012,23,9,19.36266667
2012,23,10,24.476
2012,23,11,28.068
2012,23,12,30.33933333
2012,23,13,32.83666667
2012,23,14,34.178
2012,23,15,33.40666667
2012,23,16,33.17333333
2012,23,17,31.374
2012,23,18,26.49928571
2012,23,19,22.54571429
2012,23,20,20.61214286
2012,23,21,20.15428571
2012,23,22,19.12642857
2012,23,23,19.13
2012,24,0,18.36230769
2012,24,1,18.19333333
2012,24,2,17.43583333
2012,24,3,17.03666667
2012,24,4,16.5625
2012,24,5,16.32363636
2012,24,6,15.46909091
2012,24,7,15.06818182
2012,24,8,17.938
2012,24,9,20.744
2012,24,10,25.874
2012,24,11,29.13933333
2012,24,12,31.394
2012,24,13,33.58933333
2012,24,14,34.72866667
2012,24,15,34.995
2012,24,16,35.21357143
2012,24,17,32.69357143
2012,24,18,27.17642857
2012,24,19,23.25714286
2012,24,20,20.96214286
2012,24,21,19.44733333
2012,24,22,19.82
2012,24,23,19.42153846
2012,25,0,18.54538462
2012,25,1,17.85384615
2012,25,2,17.56833333
2012,25,3,17.12666667
2012,25,4,16.51916667
2012,25,5,15.81166667
2012,25,6,15.55818182
2012,25,7,14.65818182
2012,25,8,16.42416667
2012,25,9,20.18733333
2012,25,10,25.51866667
2012,25,11,28.27333333
2012,25,12,30.40733333
2012,25,13,32.54733333
2012,25,14,35.15214286
2012,25,15,34.94214286
2012,25,16,34.33785714
2012,25,17,31.82428571
2012,25,18,26.15285714
2012,25,19,22.34214286
2012,25,20,20.125
2012,25,21,18.77142857
2012,25,22,18.10153846
2012,25,23,17.74923077
2012,26,0,17.41153846
2012,26,1,16.51923077
2012,26,2,16.50416667
2012,26,3,15.86333333
2012,26,4,15.28
2012,26,5,14.5725
2012,26,6,13.80583333
2012,26,7,13.88888889
2012,26,8,15.52583333
2012,26,9,19.402
2012,26,10,24.59
2012,26,11,27.94133333
2012,26,12,31.42428571
2012,26,13,34.06785714
2012,26,14,34.945
2012,26,15,35.21357143
2012,26,16,34.37071429
2012,26,17,32.03
2012,26,18,26.21428571
2012,26,19,22.02571429
2012,26,20,20.21714286
2012,26,21,18.74214286
2012,26,22,18.175
2012,26,23,17.80166667
2012,27,0,17.12
2012,27,1,16.58076923
2012,27,2,16.255
2012,27,3,15.60583333
2012,27,4,14.9225
2012,27,5,15.1
2012,27,6,14.0375
2012,27,7,14.05714286
2012,27,8,15.11833333
2012,27,9,19.16866667
2012,27,10,24.25333333
2012,27,11,27.546
2012,27,12,31.42571429
2012,27,13,33.585
2012,27,14,35.36642857
2012,27,15,35.91571429
2012,27,16,34.43357143
2012,27,17,31.85857143
2012,27,18,26.28642857
2012,27,19,21.81285714
2012,27,20,18.91066667
2012,27,21,18.62857143
2012,27,22,18.20923077
2012,27,23,18.01769231
2012,28,0,17.33384615
2012,28,1,16.4625
2012,28,2,16.33833333
2012,28,3,15.85583333
2012,28,4,15.32454545
2012,28,5,15
2012,28,6,14.07
2012,28,7,13.975
2012,28,8,15.16166667
2012,28,9,19.69333333
2012,28,10,24.87
2012,28,11,27.908
2012,28,12,30.504
2012,28,13,32.23461538
2012,28,14,33.28384615
2012,28,15,35.65
2012,28,16,34.51583333
2012,28,17,31.85307692
2012,28,18,26.52923077
2012,28,19,22.17230769
2012,28,20,19.888
2012,28,21,19.83285714
2012,28,22,18.77642857
2012,28,23,19.26769231
2012,29,0,18.80692308
2012,29,1,18.21461538
2012,29,2,17.72307692
2012,29,3,17.5175
2012,29,4,16.87583333
2012,29,5,16.45636364
2012,29,6,15.69363636
2012,29,7,15.1525
2012,29,8,16.87333333
2012,29,9,20.81666667
2012,29,10,26.1
2012,29,11,29.01533333
2012,29,12,30.48
2012,29,13,33.33
2012,29,14,34.13357143
2012,29,15,34.53714286
2012,29,16,33.27785714
2012,29,17,31.11142857
2012,29,18,26.63928571
2012,29,19,23.07071429
2012,29,20,21.31066667
2012,29,21,21.23928571
2012,29,22,20.51142857
2012,29,23,19.74071429
2012,30,0,19.46769231
2012,30,1,19.53692308
2012,30,2,19.08307692
2012,30,3,18.46769231
2012,30,4,17.79846154
2012,30,5,17.27615385
2012,30,6,17.03076923
2012,30,7,16.58538462
2012,30,8,18.40384615
2012,30,9,22.68733333
2012,30,10,27.08266667
2012,30,11,30.09928571
2012,30,12,32.17666667
2012,30,13,34.25333333
2012,30,14,34.98666667
2012,30,15,34.37733333
2012,30,16,32.58928571
2012,30,17,30.86066667
2012,30,18,26.818
2012,30,19,24.26
2012,30,20,23.08333333
2012,30,21,22.77466667
2012,30,22,22.49066667
2012,30,23,22.252
2012,31,0,22.045
2012,31,1,21.39666667
2012,31,2,20.97
2012,31,3,20.25066667
2012,31,4,19.56142857
2012,31,5,19.47642857
2012,31,6,19.40428571
2012,31,7,19.218
2012,31,8,20.87933333
2012,31,9,24.56666667
2012,31,10,29.204
2012,31,11,31.37133333
2012,31,12,32.66866667
2012,31,13,33.42866667
2012,31,14,33.46066667
2012,31,15,32.44333333
2012,31,16,30.998
2012,31,17,28.696
2012,31,18,26.39533333
2012,31,19,24.98666667
2012,31,20,23.85533333
2012,31,21,23.31714286
2012,31,22,22.83066667
2012,31,23,22.758
2012,32,0,22.472
2012,32,1,22.43333333
2012,32,2,22.02266667
2012,32,3,22.08933333
2012,32,4,22.02933333
2012,32,5,21.72866667
2012,32,6,21.402
2012,32,7,21.42866667
2012,32,8,22.1
2012,32,9,24.384
2012,32,10,27.75
2012,32,11,29.54866667
2012,32,12,30.55533333
2012,32,13,31.00933333
2012,32,14,31.25928571
2012,32,15,31.08142857
2012,32,16,30.37928571
2012,32,17,28.15666667
2012,32,18,25.878
2012,32,19,24.052
2012,32,20,23.228
2012,32,21,22.824
2012,32,22,22.83133333
2012,32,23,22.56466667
2012,33,0,22.174
2012,33,1,21.952
2012,33,2,21.918
2012,33,3,21.68533333
2012,33,4,21.39333333
2012,33,5,21.106
2012,33,6,21.38461538
2012,33,7,21.27692308
2012,33,8,22.15384615
2012,33,9,24.92285714
2012,33,10,28.29133333
2012,33,11,30.782
2012,33,12,32.008
2012,33,13,33.79
2012,33,14,34.47266667
2012,33,15,34.14733333
2012,33,16,32.744
2012,33,17,29.95733333
2012,33,18,27.07466667
2012,33,19,24.83666667
2012,33,20,23.698
2012,33,21,23.304
2012,33,22,22.96533333
2012,33,23,22.61133333
2012,34,0,22.41266667
2012,34,1,22.18733333
2012,34,2,21.92266667
2012,34,3,21.492
