year,day,hour,avg
2012,17,6,89.33333333
2012,17,7,90.33333333
2012,17,8,81.14285714
2012,17,9,70.51416667
2012,17,10,60.14285714
2012,17,11,48.82142857
2012,17,12,42.67857143
2012,17,13,35.80769231
2012,17,14,32.66666667
2012,17,15,31.72166667
2012,17,16,32.12090909
2012,17,17,35.07692308
2012,17,18,53.79785714
2012,17,19,68.51214286
2012,17,20,72.87153846
2012,17,21,76.56384615
2012,17,22,79.36083333
2012,17,23,77
2012,18,0,74.33333333
2012,18,1,78.11111111
2012,18,2,79.66666667
2012,18,3,80.875
2012,18,4,80.33333333
2012,18,5,79.2
2012,18,6,83.8
2012,18,7,80.25
2012,18,8,86.66666667
2012,18,9,71.25
2012,18,10,58.92857143
2012,18,11,47.80928571
2012,18,12,40.48857143
2012,18,13,36.17923077
2012,18,14,32.94846154
2012,18,15,32.15384615
2012,18,16,30.82076923
2012,18,17,29.98769231
2012,18,18,47.80769231
2012,18,19,64.09
2012,18,20,71.62846154
2012,18,21,76.34615385
2012,18,22,78.65384615
2012,18,23,79.83333333
2012,19,0,77.44444444
2012,19,1,77.7
2012,19,2,78.75
2012,19,3,77.625
2012,19,4,77.16666667
2012,19,5,75.66666667
2012,19,6,77.66666667
2012,19,7,85.83333333
2012,19,8,86.66666667
2012,19,9,72.55928571
2012,19,10,56.15384615
2012,19,11,45.85923077
2012,19,12,41.14076923
2012,19,13,36.34615385
2012,19,14,33.28230769
2012,19,15,26.76416667
2012,19,16,28.08333333
2012,19,17,32.16615385
2012,19,18,49.71769231
2012,19,19,60.27272727
2012,19,20,71.66666667
2012,19,21,75.41666667
2012,19,22,79.5
2012,19,23,79
2012,20,0,81
2012,20,1,82.5
2012,20,2,85.77777778
2012,20,3,85.5
2012,20,4,82.16666667
2012,20,5,83.66666667
2012,20,6,81.2
2012,20,7,84.4
2012,20,8,85.83333333
2012,20,9,79.48692308
2012,20,10,61.57692308
2012,20,11,53.55153846
2012,20,12,45.35923077
2012,20,13,40.66692308
2012,20,14,39.46153846
2012,20,15,38.5
2012,20,16,33.30272727
2012,20,17,37.65384615
2012,20,18,53.76923077
2012,20,19,65.92307692
2012,20,20,73.14285714
2012,20,21,73.38461538
2012,20,22,73.39769231
2012,20,23,76.09
2012,21,0,77.6525
2012,21,1,79.20833333
2012,21,2,81.69727273
2012,21,3,82.467
2012,21,4,81.75
2012,21,5,82.57142857
2012,21,6,83.83333333
2012,21,7,86.66666667
2012,21,8,87.3
2012,21,9,70.51230769
2012,21,10,56.71428571
2012,21,11,47.86928571
2012,21,12,40.97571429
2012,21,13,36.07142857
2012,21,14,28.56461538
2012,21,15,29.61083333
2012,21,16,30.25727273
2012,21,17,33.41666667
2012,21,18,46.93615385
2012,21,19,62.17923077
2012,21,20,70.85923077
2012,21,21,74.15384615
2012,21,22,76.29461538
2012,21,23,78.74384615
2012,22,0,79.66692308
2012,22,1,77.48454545
2012,22,2,83.983
2012,22,3,77.88888889
2012,22,4,80.25
2012,22,5,75.66666667
2012,22,6,77.66666667
2012,22,7,81.5
2012,22,8,83.29666667
2012,22,9,71.15428571
2012,22,10,53.345
2012,22,11,43.73785714
2012,22,12,37.61857143
2012,22,13,31.63142857
2012,22,14,29.91666667
2012,22,15,30.42454545
2012,22,16,23.25727273
2012,22,17,28.10230769
2012,22,18,45.11538462
2012,22,19,59.16692308
2012,22,20,68.13142857
2012,22,21,68.43615385
2012,22,22,70.32076923
2012,22,23,73.61538462
2012,23,0,77.67923077
2012,23,1,73.3
2012,23,2,73.133
2012,23,3,75.77777778
2012,23,4,78.33333333
2012,23,5,75.57142857
2012,23,6,79.71428571
2012,23,7,80.83333333
2012,23,8,84.233
2012,23,9,68.69071429
2012,23,10,53.33357143
2012,23,11,43.30928571
2012,23,12,37.67857143
2012,23,13,33.44071429
2012,23,14,27.19230769
2012,23,15,27.75615385
2012,23,16,28.2775
2012,23,17,30.58923077
2012,23,18,47.39692308
2012,23,19,62.34615385
2012,23,20,70.10230769
2012,23,21,72.53846154
2012,23,22,75.39769231
2012,23,23,80.67923077
2012,24,0,81.44416667
2012,24,1,81.2
2012,24,2,82.9
2012,24,3,82.66666667
2012,24,4,85.88888889
2012,24,5,82.5
2012,24,6,79
2012,24,7,82.75
2012,24,8,86.77777778
2012,24,9,75.38071429
2012,24,10,58.595
2012,24,11,48.54714286
2012,24,12,38.47461538
2012,24,13,34.36083333
2012,24,14,30.94416667
2012,24,15,30.783
2012,24,16,30.74272727
2012,24,17,34.0975
2012,24,18,46.24307692
2012,24,19,59.14153846
2012,24,20,68.59
2012,24,21,75.23076923
2012,24,22,76.88461538
2012,24,23,78.08333333
2012,25,0,81.08333333
2012,25,1,81.54545455
2012,25,2,83.9
2012,25,3,82.77777778
2012,25,4,76.66666667
2012,25,5,80.66666667
2012,25,6,79.2
2012,25,7,73.33333333
2012,25,8,89.33333333
2012,25,9,75.57142857
2012,25,10,58.89285714
2012,25,11,49.82142857
2012,25,12,41.91642857
2012,25,13,31.82076923
2012,25,14,27.75
2012,25,15,25.55583333
2012,25,16,25.433
2012,25,17,29.08333333
2012,25,18,43.19230769
2012,25,19,56.33384615
2012,25,20,66.34571429
2012,25,21,70.96153846
2012,25,22,75.61538462
2012,25,23,77.47461538
2012,26,0,77.0275
2012,26,1,84.317
2012,26,2,83.375
2012,26,3,79.55555556
2012,26,4,80.5
2012,26,5,73.6
2012,26,6,69.5
2012,26,7,75.5
2012,26,8,83.875
2012,26,9,72.44071429
2012,26,10,55.46428571
2012,26,11,46.69071429
2012,26,12,41.14285714
2012,26,13,34.77357143
2012,26,14,27.78230769
2012,26,15,25.85923077
2012,26,16,26.45833333
2012,26,17,28.7775
2012,26,18,44.23076923
2012,26,19,58.39692308
2012,26,20,65.33285714
